和名,学名,分布,生息場所,体長,深さ
ダルマオコゼ,Erosa erosa,南日本、八丈島、琉球列島；東部インド洋～西部太平洋の温・熱帯域,浅海域、海底の石や人工物など,15cm,10m
オニダルマオコゼ,Synanceia verrucosa,和歌山県以南の南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,浅海域のサンゴ礁と岩礁の砂泥底、砂地にあるサンゴの根の周り,25cm,15m
オニオコゼ,Inimicus japonicus,青森県以南、南日本；東シナ海,砂泥底、砂地、岩礁付近,25cm,12m
ヒメオニオコゼ,Inimicus didactylus,八丈島、琉球列島；西部太平洋,砂泥底、岩礁域,17cm,15m
ヒョットコオコゼ,Cocotropus larvatus,八丈島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,島嶼周辺の40m以浅の小石底、ドロップオフの棚の小さな砂地,5cm,25m
イズオコゼ,Cocotropus izuensis,南日本の太平洋岸、伊豆諸島,浅海の岩礁,8cm,5m
ホウボウ,Chelidonichthys spinosus,北海道以南、南日本、八丈島、朝鮮半島、中国,泥底、砂泥底、貝殻まじりの砂泥底,30cm,15m
トゲカナガシラ,Lepidotrigla japonica,隠岐島、南日本の太平洋岸、北九州；南シナ海、インドネシア,砂泥底、貝殻まじりの砂底,25cm,18m
カナド,Lepidotrigla guentheri,青森県以南、南日本、八丈島；東シナ海,貝殻まじりの砂泥底、砂底,15cm,10m
エンマゴチ,Cymbacephalus beauforti,八丈島、琉球列島；西部太平洋,サンゴ礁の砂底,60cm,15m
マゴチ,Platycephalus sp. 2 of Nakabo ed. (2013),南日本,大陸棚の砂泥底、海藻の切れ端など,45cm,25m
イネゴチ,Cociella crocodila,南日本；インド・西太平洋,大陸棚の浅所,45cm,15m
トカゲゴチ,Inegocia japonica,南日本；東部インド洋〜西部太平洋の熱帯域,大陸棚の浅所,25cm,15m
ワニゴチ,Inegocia ochiaii,伊豆諸島、南日本；中国、台湾,大陸棚の浅所、砂底,40cm,23m
セレベスゴチ,Thysanophrys celebica,南日本の太平洋岸、伊豆諸島、琉球列島；インド・西太平洋,浅海の岩礁の砂底,18cm,14m
クロシマゴチ,Thysanophrys chiltonae,伊豆諸島、和歌山県、琉球列島；インド・太平洋,水深80m以浅の岩礁と礁池の砂底,12cm,10m
セミホウボウ,Dactyloptena orientalis,青森県以南、南日本、伊豆・小笠原諸島、琉球列島；インド・太平洋,大陸棚の砂泥底,10cm,25m
サクラダイ,Sacura margaritacea,南日本、伊豆諸島；台湾,沿岸岩礁域,13cm,30m
ミナミハナダイ,Luzonichthys waitei,伊豆半島大瀬崎、伊豆大島、高知県、久米島、小笠原諸島；インド・西太平洋,沿岸浅所の岩礁域やサンゴ礁外縁部,,
オシャレハナダイ,Plectranthias pelicieri,高知県柏島、伊豆諸島、琉球列島；モーリシャス,サンゴ礁域のガレ場,8cm,42m
マダラハナダイ,Odontanthias borbonius,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；西部インド洋、台湾,やや深い岩礁域,6cm,50m
ハナゴンベ,Serranocirrhitus latus,駿河湾以南の南日本の太平洋岸、伊豆諸島、琉球列島；西部太平洋の熱帯域,サンゴ礁域の浅所から深所、サンゴ礁外縁部の崖や岩棚の下,8cm,23m
キシマハナダイ,Tosanoides flavofasciatus,相模湾、伊豆・小笠原諸島、和歌山県、沖縄舟状海盆；トンガ海溝、メラネシア,沿岸岩礁域の深所,3cm,30m
イトヒキハナダイ,Tosanoides filamentosus,相模湾、駿河湾、伊豆大島、高知県沿岸岩礁域の深所,岩礁域の深所、海底付近,6cm,57m
ニラミハナダイ,Pseudanthias ventralis ventralis,伊豆・小笠原諸島、琉球列島；ハワイ諸島を除く中・西部太平洋の熱帯域,サンゴ礁外縁部、崖や急斜面、潮通しのよい所,7cm,50m
キンギョハナダイ,Pseudanthias squamipinnis,南日本の太平洋岸、伊豆・小笠原諸島、福岡県、琉球列島；インド・太平洋岩礁域、サンゴ礁域の沿岸浅所,サンゴ礁域、岩礁域の沿岸浅所,4cm,20m
カシワハナダイ,Pseudanthias cooperi,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島、インド・太平洋,サンゴ礁域、潮通しのよいサンゴ礁外縁部,9cm,23m
ベニハナダイ,Pseudanthias sp.1,南日本の太平洋岸、伊豆諸島、琉球列島,サンゴ礁外縁部,6cm,45m
スミレナガハナダイ,Pseudanthias pleurotaenia,駿河湾以南の南日本の太平洋岸、伊豆諸島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深20～70m、潮通しのよいサンゴ礁外縁部、ドロップオフの途中の30m付近,12cm,25m
シロオビハナダイ,Pseudanthias leucozonus,伊豆半島、伊豆大島,岩礁域の水深30～65m、潮通しのよい深場,10cm,30m
アカオビハナダイ,Pseudanthias rubrizonatus,南日本の太平洋岸、東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深10～58m,12cm,40m
ケラマハナダイ,Pseudanthias hypselosoma,"南日本の太平洋岸, 伊豆・小笠原諸島, 琉球列島; インド・太平洋",岩礁域の水深15〜30mに生息。サンゴの周りで大きな群れを作る,6cm,23m
ナガハナダイ,Pseudanthias elongatus,"南日本の太平洋岸, 伊豆大島; 台湾",岩礁域の30m以深に生息,9cm,25m
フチドリハナダイ,Pseudanthias randalli,八丈島、琉球列島；西部太平洋の熱帯域,サンゴ礁域、サンゴ礁外縁部、ドロップオフの途中,7cm,25m
フタイロハナゴイ,Pseudanthias bicolor,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、潮通しのよい砂地のサンゴ周辺,8cm,28m
アカネハナゴイ,Pseudanthias dispar,琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深3～15m、潮通しのよいサンゴ礁外縁部,8cm,12m
ハナゴイ,Pseudanthias pascalus,南日本の太平洋沿岸、伊豆・小笠原諸島、琉球列島；中・西部太平洋の熱帯域,サンゴ礁外縁部の水深35～60m,9cm,15m
アカボシハナゴイ,Pseudanthias lori,高知県柏島、八丈島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深25～60m,6cm,33m
オオテンハナゴイ,Pseudanthias smithvanizi,八丈島、沖縄諸島以南の琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深10～70m,6cm,15m
スジハナダイ,Pseudanthias fasciatus,南日本の太平洋岸、八丈島、琉球列島；インド・西太平洋,岩礁域,11cm,45m
イトヒキコハクハナダイ,Pseudanthias rubrolineatus,南日本の太平洋岸、伊豆大島、トカラ列島、小笠原諸島,岩礁域の水深25〜200m、スジハナダイに似るが赤い縦帯の位置が違う,6cm,40m
コウリンハナダイ,Pseudanthias parvirostris,伊豆大島、相模湾、高知県柏島；インド・西太平洋,サンゴ礁縁外縁部、小さな庭の周辺、穴の中,8cm,42m
アサヒハナゴイ,Pseudanthias flavoguttatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；パラオ,岩礁域の水深18～63m,4.5cm,30m
チゴハナダイ,Plectranthias altipinnatus,南日本の太平洋岸、伊豆大島、沖縄県伊江島、久米島,沿岸岩礁域、底生,5cm,42m
コクハンアラ,Plectropomus laevis,伊豆・小笠原諸島、和歌山県以南の南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁外縁部,5cm,14m
オオアオノメアラ,Plectropomus areolatus,琉球列島；インド・太平洋,サンゴ礁外縁部,60cm,23m
オジロバラハタ,Variola albimarginata,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁外縁部,40cm,15m
バラハタ,Variola louti,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁外縁部,6cm,12m
タテスジハタ,Gracila albomarginata,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁外縁部、中層,20cm,15m
クロハタ,Aethaloperca rogaa,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁外縁部、砂地にあるサンゴの根,30cm,10m
ミナミハタ,Cephalopholis polleni,琉球列島；インド・太平洋,サンゴ礁外縁部、30m以深の崖穴やドロップオフ,20cm,25m
アオノメハタ,Cephalopholis argus,高知県柏島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁の浅所,30cm,10m
ニジハタ,Cephalopholis urodeta,和歌山県以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の浅所,17cm,10m
ミナミイソハタ,Cephalopholis leopardus,琉球列島；インド・太平洋,サンゴ礁域の浅所,15cm,15m
アカハナ,Cephalopholis spiloparaea,琉球列島；インド・太平洋,サンゴ礁域の深所,15cm,12m
アザハタ,Cephalopholis sonnerati,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の深所、砂地にある大きなサンゴの根,45cm,25m
ユカタハタ,Cephalopholis miniata,和歌山県以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の浅所,30cm,15m
ヤミハタ,Cephalopholis boenack,高知県柏島、琉球列島；インド・太平洋,サンゴ礁域の浅所、やや内湾的な場所,22cm,7m
コクハンハタ,Cephalopholis sexmaculata,八丈島、琉球列島；インド・太平洋,サンゴ礁域の深所、崖穴あるいはドロップオフの棚の下など,30cm,25m
アズキハタ,Anyperodon leucogrammicus,琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所、沿岸浅海の岩礁域,30cm,12m
タマカイ,Epinephelus lanceolatus,和歌山県以南の南日本の太平洋岸、八丈島、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所、沿岸浅海の岩礁域,2m,20m
ツチホゼリ,Epinephelus cyanopodus,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域の浅所,25cm,15m
オオモンハタ,Epinephelus areolatus,南日本の太平洋岸、琉球列島；インド・西太平洋,沿岸浅所の岩礁域、サンゴ礁域の浅所から深所,5cm,12m
ホウキハタ,Epinephelus morrhua,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸浅所から深めの岩礁域,35cm,25m
ナミハタ,Epinephelus ongus,琉球列島；インド・太平洋,サンゴ礁域の浅所,20cm,12m
ハクテンハタ,Epinephelus coeruleopunctatus,高知県柏島、琉球列島；インド・太平洋,サンゴ礁域の浅所,40cm,20m
キジハタ,Epinephelus akaara,南日本、沖縄島；朝鮮半島南部、上海以南～北海の中国沿岸、台湾,沿岸浅所の岩礁域,30cm,15m
マハタ,Epinephelus septemfasciatus,南北海道以南、南日本、伊豆大島、琉球列島、小笠原諸島；東シナ海,沿岸浅所から深所の岩礁域,45cm,20m
アカハタ,Epinephelus fasciatus,南日本、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、浅所から深所の岩礁域,20cm,10m
カスリハタ,Epinephelus tukula,"高知県柏島, 琉球列島; インド・西太平洋",サンゴ礁域の浅所,1.2m,25m
クエ,Epinephelus moara,南日本、伊豆諸島、沖縄島；上海以南～北海の中国沿岸、台湾、フィリピン,沿岸と深所の岩礁域,80cm,23m
ヤイトハタ,Epinephelus malabaricus,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,内湾浅所の岩礁域,1m,25m
ヒレグロハタ,Epinephelus howlandi,琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域の浅所,25cm,10m
イシガキハタ,Epinephelus hexagonatus,八丈島、高知県柏島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁外縁部、波あたりの強い浅所やドロップオフの棚,20cm,5m
キビレハタ,Epinephelus macrospilos,琉球列島；インド・太平洋,サンゴ礁域の浅所、水深数mの波あたりの強い浅所,20cm,5m
モヨウハタ,Epinephelus quoyanus,和歌山県、高知県；東部インド洋～西部太平洋の熱帯域,沿岸浅所の砂泥底域や岩礁域、やや内湾的な場所,30cm,15m
マダラハタ,Epinephelus polyphekadion,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所,45cm,20m
アカマダラハタ,Epinephelus fuscoguttatus,琉球列島、インド・太平洋,サンゴ礁域の浅所,60cm,15m
カンモンハタ,Epinephelus merra,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の礁池、潮だまり,25cm,12m
ヒトミハタ,Epinephelus tauvina,高知県、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所,60cm,20m
シロブチハタ,Epinephelus maculatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の浅所、サンゴの砂地のサンゴや人工物、転石などの周り,30cm,20m
サラサハタ,Cromileptes altivelis,南日本の太平洋岸、琉球列島；インド・西太平洋,沿岸浅所のサンゴ礁域、岩礁域、やや内湾的な場所,40cm,23m
ルリハタ,Aulacocephalus temminckii,富山湾、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,沿岸浅所の岩礁、岩穴などに隠れている,25cm,25m
ヤミスズキ,Belonoperca chabanaudi,琉球列島；インド・太平洋,サンゴ礁域の浅所,10cm,15m
キハッソク,Diploprion bifasciatum,南日本、琉球列島；インド・西太平洋,沿岸岩礁域とサンゴ礁域の浅所,15cm,25m
ツルグエ,Liopropoma latifasciatum,南日本の太平洋岸、伊豆大島、琉球列島、朝鮮半島南部、台湾、パラオ,岩礁域、崖の穴、物陰,13cm,30m
ヌノサラシ,Grammistes sexlineatus,岩手県、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島、インド・太平洋,沿岸岩礁域やサンゴ礁域の浅所,12cm,15m
アゴハタ,Pogonoperca punctata,高知県、八丈島、琉球列島、小笠原諸島、インド・太平洋,沿岸岩礁域とサンゴ礁域の浅所、物陰,25cm,30m
メギス,Labracinus cyclophthalmus,和歌山以南の南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の浅所,13cm,10m
ホシニセスズメ,Pseudochromis marshallensis,八丈島、高知県、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,潮だまりやサンゴ礁域の浅所、内湾,5cm,10m
セダカニセメギス,Pseudochromis fuscus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,潮だまりやサンゴ礁域の浅所、やや内湾的な場所,7cm,10m
クレナイニセスズメ,Pictichromis porphyreus,琉球列島；中・西部太平洋の熱帯域,サンゴ礁外縁部の崖や岩穴口、水深8～15mのサンゴ礁外縁部,6cm,10m
